hex1,hex2
S7BAJU1,S6HUM1
S7BAJU1,S6KAL1
S7ACH2,S6KAL1
S7ACH2,S6SUR1
S7ACH2,S6SUR2
S7ACH1,S6SUR2
S7KAI2,S6SUR2
S7KAI3,S6SUR2
S7KAI3,S5BAR2
S7KAI3,S5BAR1
S6SUR2,S5BAR2
S6SUR1,S5BAR2
S6DAI1,S5BAR2
S6DAI1,S5BAN3
S6DAI1,S5BAN1
S6SAL1,S5RUKE1
S6SAL1,S5ROL1
S6SAL1,S5BAN1
S6RUKW1,S5RUKE1
S6DOL1,S4MUS1
S6DOL1,S4MYA1
S6DOL1,S5RUKE1
S5RUKE1,S4MYA1
S5GUL2,S4MYA1
S5GUL2,S4BAG1
S5GUL1,S4BAG1
S5GUL1,S4SYA2
S5PAL2,S4SYA2
S5PAL2,S4SYA1
S5RUP2,S4SYA1
S5PAL1,S4SYA1
S5PAL1,S4TAN2
S5PAL1,S4TAN1
S5NAWW1,S4TAN1
S5NAWW1,S4NAWE2
S5NAWW1,S4NAWE1
S5NAWW2,S4NAWE1
S4GOR2,S3DHA2
S4GOR1,S3DHA2
S4GOR1,S3DHA1
S4TAN1,S3DHA1
S4NAWE2,S3DHA1
S4NAWE2,S3NUW2
S4NAWE2,S3CHI3
S4NAWE1,S3CHI3
S4NAWE1,S3CHI2
S3CHI2,S2PAR3
S3CHI2,S2PAR4
S3MAK2,S2PAR4
S3MAK2,S2PAR2
S3MAK1,S2PAR2
S3KAT3,S2PAR2
S3KAT3,S2BAR4
S3SIND2,S2BAR4
S3SIND2,S2BAR2
S3SIND2,S2RAU4
S3SIND1,S2RAU4
S3SIND1,S2SAR1
S3KAV2,S2SAR1
S3KAV2,S2MAH4
S3KAV1,S2MAH4
S3KAV1,S1UDA2
S3KAV1,S1OKH1
S3BHA1,S1OKH1
S3BHA1,S1SOL1
S3RAM1,S1SOL1
S2MAH4,S1UDA2
S2MAH1,S1UDA2
S2DHA4,S1UDA2
S2DHA4,S1UDA1
S2SIR4,S1UDA1
S2SIR4,S1BHO1
S2SIR4,S1DHA1
S2SAP4,S1MOR6
S2SAP4,S1DHA1
S2SAP4,S1SUN4
S2SAP3,S1SUN4
S2SAP3,S1SUN3
S2SAP2,S1SUN3
S2SAP2,S1SUN2
S2SAP1,S1SUN2
S2SAP1,S1SUN1